MPI Processes,Nodes,Processes per Node,OpenMP Threads per process,Floating Point Ops,Distribution Time,SpMV Time,SpMV with Reduction Time,Total Time, ,Best Distribution Time,Best SpMV Time,Best SpMV with Reduction Time,Best Total Time,Best GFlops,,Worst Distribution Time,Worst SpMV Time,Worst SpMV with Reduction Time,Worst Total Time,Worst GFlops, ,Avg Distribution Time,Avg SpMV Time,Avg SpMV with Reduction Time,Avg Total Time,Avg GFlops
 , , , , ,3.81538,0.000269,0.003742,4.82816, , , , , , , , , , , , , , , , , ,
 , , , , , , , , , , , , ,,,,,,,,,,,,,,
 , , , , , , , , , , , , ,,,,,,,,,,,,,,
MPI Processes,Nodes,Processes per Node,OpenMP Threads per process,Floating Point Ops,Distribution Time,SpMV Time,SpMV with Reduction Time,Total Time, ,Best Distribution Time,Best SpMV Time,Best SpMV with Reduction Time,Best Total Time,Best GFlops,,Worst Distribution Time,Worst SpMV Time,Worst SpMV with Reduction Time,Worst Total Time,Worst GFlops, ,Avg Distribution Time,Avg SpMV Time,Avg SpMV with Reduction Time,Avg Total Time,Avg GFlops
64, ,1,0,8516500,3.82137,0.000265,0.003879,4.83451, ,3.80906,0.00026,0.00364,4.83451,4.678964, ,3.9292,0.000296,0.003943,4.94085,4.319882, ,3.85324,0.000266,0.003803,4.86608,4.478646
 , , , , ,3.80906,0.000262,0.003847,4.82094, , , , , , , , , , , , , , , , , ,
 , , , , ,3.9026,0.000262,0.003736,4.91643, , , , , , , , , , , , , , , , , ,
 , , , , ,3.83404,0.000265,0.003669,4.84642, , , , , , , , , , , , , , , , , ,
 , , , , ,3.85113,0.000262,0.00385,4.86602, , , , , , , , , , , , , , , , , ,
 , , , , ,3.83595,0.000277,0.003813,4.84814, , , , , , , , , , , , , , , , , ,
 , , , , ,3.86774,0.000265,0.003758,4.88149, , , , , , , , , , , , , , , , , ,
 , , , , ,3.86013,0.000263,0.003701,4.87277, , , , , , , , , , , , , , , , , ,
 , , , , ,3.81567,0.000296,0.003732,4.82836, , , , , , , , , , , , , , , , , ,
 , , , , ,3.85557,0.000265,0.00364,4.86818, , , , , , , , , , , , , , , , , ,
 , , , , ,3.82803,0.000262,0.003901,4.84206, , , , , , , , , , , , , , , , , ,
 , , , , ,3.86638,0.000268,0.003843,4.87931, , , , , , , , , , , , , , , , , ,
 , , , , ,3.858,0.000261,0.003901,4.86926, , , , , , , , , , , , , , , , , ,
 , , , , ,3.85845,0.000264,0.003796,4.86972, , , , , , , , , , , , , , , , , ,
 , , , , ,3.82137,0.000263,0.0037,4.83321, , , , , , , , , , , , , , , , , ,
 , , , , ,3.83855,0.000261,0.003788,4.85235, , , , , , , , , , , , , , , , , ,
 , , , , ,3.88034,0.000261,0.003783,4.8949, , , , , , , , , , , , , , , , , ,
 , , , , ,3.9292,0.00026,0.003943,4.94085, , , , , , , , , , , , , , , , , ,
 , , , , ,3.8643,0.000263,0.003775,4.8762, , , , , , , , , , , , , , , , , ,
 , , , , ,3.83437,0.000266,0.003894,4.8467, , , , , , , , , , , , , , , , , ,
 , , , , ,3.8858,0.000269,0.003918,4.89987, , , , , , , , , , , , , , , , , ,
 , , , , , , , , , , , , ,,,,,,,,,,,,,,
 , , , , , , , , , , , , ,,,,,,,,,,,,,,
MPI Processes,Nodes,Processes per Node,OpenMP Threads per process,Floating Point Ops,Distribution Time,SpMV Time,SpMV with Reduction Time,Total Time, ,Best Distribution Time,Best SpMV Time,Best SpMV with Reduction Time,Best Total Time,Best GFlops,,Worst Distribution Time,Worst SpMV Time,Worst SpMV with Reduction Time,Worst Total Time,Worst GFlops, ,Avg Distribution Time,Avg SpMV Time,Avg SpMV with Reduction Time,Avg Total Time,Avg GFlops
64, ,1,0,8516500,3.8757,0.000257,0.003714,4.88719, ,3.81408,0.000253,0.003671,4.88719,4.639319, ,3.94242,0.000271,0.004007,4.954,4.251101, ,3.851751,0.000261,0.003822,4.864193,4.457141
 , , , , ,3.83703,0.000253,0.003932,4.85113, , , , , , , , , , , , , , , , , ,
 , , , , ,3.86026,0.000271,0.003873,4.87282, , , , , , , , , , , , , , , , , ,
 , , , , ,3.85867,0.000263,0.003776,4.8723, , , , , , , , , , , , , , , , , ,
 , , , , ,3.8201,0.000258,0.003754,4.83062, , , , , , , , , , , , , , , , , ,
 , , , , ,3.82397,0.00026,0.003866,4.83812, , , , , , , , , , , , , , , , , ,
 , , , , ,3.85259,0.000261,0.003713,4.86553, , , , , , , , , , , , , , , , , ,
 , , , , ,3.94242,0.000261,0.003784,4.954, , , , , , , , , , , , , , , , , ,
 , , , , ,3.89091,0.000256,0.003833,4.90523, , , , , , , , , , , , , , , , , ,
 , , , , ,3.83881,0.000265,0.003671,4.85205, , , , , , , , , , , , , , , , , ,
 , , , , ,3.83971,0.000271,0.003721,4.85271, , , , , , , , , , , , , , , , , ,
 , , , , ,3.83101,0.000259,0.003684,4.84503, , , , , , , , , , , , , , , , , ,
 , , , , ,3.83662,0.000257,0.004007,4.84868, , , , , , , , , , , , , , , , , ,
 , , , , ,3.85648,0.000258,0.003809,4.86809, , , , , , , , , , , , , , , , , ,
 , , , , ,3.84808,0.000263,0.003976,4.85962, , , , , , , , , , , , , , , , , ,
 , , , , ,3.88032,0.000261,0.003745,4.89104, , , , , , , , , , , , , , , , , ,
 , , , , ,3.84132,0.000258,0.003848,4.85315, , , , , , , , , , , , , , , , , ,
 , , , , ,3.81408,0.000262,0.003902,4.82576, , , , , , , , , , , , , , , , , ,
 , , , , ,3.82288,0.000264,0.004002,4.83623, , , , , , , , , , , , , , , , , ,
 , , , , ,3.88482,0.000257,0.00386,4.89571, , , , , , , , , , , , , , , , , ,
 , , , , ,3.83099,0.000258,0.00378,4.84305, , , , , , , , , , , , , , , , , ,
 , , , , , , , , , , , , ,,,,,,,,,,,,,,
 , , , , , , , , , , , , ,,,,,,,,,,,,,,
MPI Processes,Nodes,Processes per Node,OpenMP Threads per process,Floating Point Ops,Distribution Time,SpMV Time,SpMV with Reduction Time,Total Time, ,Best Distribution Time,Best SpMV Time,Best SpMV with Reduction Time,Best Total Time,Best GFlops,,Worst Distribution Time,Worst SpMV Time,Worst SpMV with Reduction Time,Worst Total Time,Worst GFlops, ,Avg Distribution Time,Avg SpMV Time,Avg SpMV with Reduction Time,Avg Total Time,Avg GFlops
64, ,1,0,8516500,3.83949,0.000266,0.003753,4.85184, ,3.81211,0.000249,0.003575,4.85184,4.764818, ,3.89525,0.000286,0.006319,4.9072,2.695446, ,3.85185,0.000264,0.003972,4.864103,4.287932
 , , , , ,3.83059,0.000263,0.003767,4.84311, , , , , , , , , , , , , , , , , ,
 , , , , ,3.83876,0.000276,0.003722,4.85041, , , , , , , , , , , , , , , , , ,
 , , , , ,3.85822,0.000261,0.003774,4.87043, , , , , , , , , , , , , , , , , ,
 , , , , ,3.83637,0.000261,0.004066,4.85031, , , , , , , , , , , , , , , , , ,
 , , , , ,3.85244,0.000276,0.003837,4.86204, , , , , , , , , , , , , , , , , ,
 , , , , ,3.85803,0.000256,0.006319,4.87359, , , , , , , , , , , , , , , , , ,
 , , , , ,3.83577,0.000256,0.003732,4.84615, , , , , , , , , , , , , , , , , ,
 , , , , ,3.88184,0.000269,0.00369,4.89389, , , , , , , , , , , , , , , , , ,
 , , , , ,3.88227,0.000264,0.003575,4.89445, , , , , , , , , , , , , , , , , ,
 , , , , ,3.89525,0.000276,0.004011,4.9072, , , , , , , , , , , , , , , , , ,
 , , , , ,3.86449,0.000249,0.003745,4.87718, , , , , , , , , , , , , , , , , ,
